run,rt_min,rel_164,rel_182,rel_81,rel_99,base_peak_mz,max_ion_above_182,verdict,present_in_ctrl
76,8.905,6.0,0.0,22.5,14.1,57,281,candidate (contam >182),True
76,8.917,5.1,0.0,20.1,18.4,57,207,candidate (contam >182),True
76,8.934,8.7,0.0,9.6,15.9,57,207,candidate (contam >182),True
76,8.939,8.3,0.0,9.1,17.4,57,207,candidate (contam >182),True
76,8.945,7.8,0.0,5.5,14.3,57,207,candidate (contam >182),True
76,8.951,7.1,0.0,5.9,14.8,57,207,candidate (contam >182),True
76,9.678,1.1,5.1,3.0,20.9,57,207,candidate (contam >182),True
76,9.683,1.1,6.5,3.2,22.4,57,0,CANDIDATE,True
76,9.689,0.0,6.0,6.1,26.5,57,207,candidate (contam >182),True
76,9.729,6.3,0.0,23.3,19.3,57,207,candidate (contam >182),True
76,10.187,0.0,6.4,3.3,20.1,57,207,candidate (contam >182),False
76,11.377,0.0,5.9,6.2,25.0,57,267,candidate (contam >182),False
76,11.657,0.0,5.6,6.8,30.0,57,210,candidate (contam >182),True
76,11.669,0.0,7.0,7.4,24.3,57,266,candidate (contam >182),True
76,13.162,0.0,5.9,15.2,29.3,57,240,candidate (contam >182),True
76,13.168,0.0,5.3,14.6,33.1,57,240,candidate (contam >182),True
76,13.197,0.0,5.1,8.5,35.8,57,261,candidate (contam >182),True
76,14.244,0.0,5.5,14.5,25.8,57,299,candidate (contam >182),True
76,14.25,0.6,6.5,15.6,24.7,98,299,candidate (contam >182),True
76,14.255,0.6,8.2,16.2,20.6,57,299,candidate (contam >182),True
76,14.261,0.6,8.0,15.4,20.3,57,299,candidate (contam >182),True
76,14.267,0.6,8.8,17.1,21.1,57,299,candidate (contam >182),True
76,14.272,0.8,7.3,15.3,23.2,57,299,candidate (contam >182),True
76,14.278,0.5,8.1,13.5,24.4,57,299,candidate (contam >182),True
76,14.284,0.0,8.4,12.8,25.0,57,299,candidate (contam >182),True
76,14.29,0.0,5.6,13.6,28.1,57,299,candidate (contam >182),True
76,14.925,0.0,5.3,14.3,100.0,99,341,candidate (contam >182),True
76,14.936,2.0,5.5,15.9,100.0,99,282,candidate (contam >182),True
76,14.953,0.0,5.7,16.3,93.7,57,281,candidate (contam >182),True
76,14.976,0.0,5.3,12.3,85.6,57,281,candidate (contam >182),True
76,15.005,0.0,5.2,14.6,69.0,57,341,candidate (contam >182),True
76,15.102,0.0,5.8,15.4,66.1,57,282,candidate (contam >182),False
79,8.796,5.3,0.0,9.7,25.2,57,281,candidate (contam >182),False
79,8.934,5.1,0.0,12.3,21.0,57,207,candidate (contam >182),True
79,8.939,6.2,0.0,9.6,15.5,57,207,candidate (contam >182),True
79,8.945,7.4,0.0,6.1,17.6,57,207,candidate (contam >182),True
79,9.597,5.7,0.0,11.4,17.3,57,207,candidate (contam >182),True
79,9.603,8.3,0.0,8.9,23.5,57,209,candidate (contam >182),True
79,9.678,1.3,6.0,3.0,23.4,57,207,candidate (contam >182),True
79,9.683,0.8,5.5,3.7,23.0,57,0,CANDIDATE,True
79,9.706,5.2,0.0,35.4,11.0,124,207,candidate (contam >182),True
79,11.377,0.0,8.2,4.6,23.4,57,267,candidate (contam >182),False
79,11.669,0.0,5.1,5.9,28.9,57,267,candidate (contam >182),True
79,11.675,0.0,6.1,6.9,27.5,71,266,candidate (contam >182),True
79,11.732,0.0,5.2,8.1,28.5,57,207,candidate (contam >182),True
79,13.128,0.0,5.7,13.9,38.5,57,209,candidate (contam >182),True
79,13.214,0.0,5.4,9.4,44.5,57,281,candidate (contam >182),True
79,13.792,0.0,6.5,12.6,39.1,57,281,candidate (contam >182),False
79,14.244,0.0,5.5,13.1,26.5,57,299,candidate (contam >182),True
79,14.249,0.4,6.9,15.1,22.0,57,299,candidate (contam >182),True
79,14.255,0.5,7.9,15.5,19.0,98,299,candidate (contam >182),True
79,14.261,0.4,8.3,15.2,19.9,98,299,candidate (contam >182),True
79,14.267,0.4,9.0,16.5,21.2,57,299,candidate (contam >182),True
79,14.272,0.8,7.2,16.3,22.0,57,299,candidate (contam >182),True
79,14.278,0.5,7.4,15.7,22.6,57,299,candidate (contam >182),True
79,14.284,0.6,5.5,14.7,23.7,57,299,candidate (contam >182),True
79,14.289,0.6,6.5,13.9,25.8,57,299,candidate (contam >182),True
79,14.295,0.0,5.4,14.2,26.9,57,299,candidate (contam >182),True
79,14.398,0.0,5.6,11.9,37.1,57,281,candidate (contam >182),True
79,14.959,0.0,5.3,14.2,98.8,57,283,candidate (contam >182),True
79,14.976,0.0,5.1,15.0,75.7,57,341,candidate (contam >182),True
79,15.119,0.0,5.1,10.9,46.5,57,282,candidate (contam >182),False
82,8.888,7.3,0.0,10.3,17.0,57,207,candidate (contam >182),True
82,8.905,5.4,0.0,27.0,16.4,57,208,candidate (contam >182),True
82,8.928,6.8,0.0,11.7,22.8,57,208,candidate (contam >182),True
82,8.934,11.5,0.0,12.4,15.8,57,207,candidate (contam >182),True
82,8.939,10.9,0.0,6.5,15.1,57,207,candidate (contam >182),True
82,8.945,10.5,0.0,5.7,18.2,57,207,candidate (contam >182),True
82,8.951,8.5,0.0,3.5,16.4,57,207,candidate (contam >182),True
82,9.643,5.9,8.7,4.9,18.6,71,207,candidate (contam >182),True
82,9.683,0.0,6.3,3.8,24.7,57,207,candidate (contam >182),True
82,9.729,5.0,0.0,21.6,18.8,57,207,candidate (contam >182),True
82,11.663,1.6,5.0,6.6,26.9,57,266,candidate (contam >182),True
82,11.669,0.0,5.6,5.9,29.6,57,267,candidate (contam >182),True
82,11.675,0.0,5.1,5.5,30.4,57,266,candidate (contam >182),True
82,13.162,0.0,5.3,13.1,35.6,57,240,candidate (contam >182),True
82,13.168,0.0,5.6,11.3,32.8,57,240,candidate (contam >182),True
82,14.095,0.0,5.1,13.1,75.5,57,371,candidate (contam >182),True
82,14.106,0.0,6.1,12.0,77.4,57,371,candidate (contam >182),True
82,14.238,0.0,5.2,10.8,37.5,57,281,candidate (contam >182),True
82,14.244,0.0,5.6,11.3,27.4,57,299,candidate (contam >182),True
82,14.249,0.5,6.0,16.5,25.1,98,299,candidate (contam >182),True
82,14.255,0.5,6.7,14.8,22.0,57,299,candidate (contam >182),True
82,14.261,0.5,7.8,16.3,24.1,57,299,candidate (contam >182),True
82,14.267,0.7,7.8,15.6,22.2,57,299,candidate (contam >182),True
82,14.272,0.6,6.0,12.9,26.8,57,299,candidate (contam >182),True
82,14.278,0.0,5.3,15.9,26.8,57,299,candidate (contam >182),True
82,14.295,0.0,5.4,13.2,36.9,57,299,candidate (contam >182),True
82,14.375,0.0,5.1,11.1,34.8,57,281,candidate (contam >182),True
82,14.965,0.0,5.6,14.6,85.9,57,282,candidate (contam >182),True
